,Año,CO2 (kt),CO2 per cápita (toneladas métricas),hash
26,1986,"179,683",2.868319392,50928
27,1987,"447,374",7.234964017,50928
28,1988,"612,389",10.026507523,50928
29,1989,"649,059",10.634732599,50928
30,1990,"1.840,83",29.620164768,50928
31,1991,"1.928,84",29.847608437,50928
32,1992,"1.723,49",25.258151975,50928
33,1993,"1.771,16",24.430480841,50928
34,1994,"1.763,83",22.996440678,50928
35,1995,"1.782,16",22.186614546,50928
36,1996,"1.800,50",21.641889537,50928
37,1997,"1.837,17",21.500661229,50928
38,1998,"1.712,49",19.621533984,50928
39,1999,"1.749,16",19.652588648,50928
40,2000,"2.321,21",25.547678795,50928
41,2001,"2.357,88",25.382489719,50928
42,2002,"2.372,55",24.975514501,50928
43,2003,"2.416,55",24.909065608,50928
44,2004,"2.420,22",24.510542626,50928
45,2005,"2.497,23",24.964530995,50928
46,2006,"2.497,23",24.766706337,50928
47,2007,"2.592,57",25.613714952,50928
48,2008,"2.508,23",24.750133212,50928
49,2009,"2.522,90",24.876705845,50928
50,2010,"2.456,89",24.182702245,50928
51,2011,"2.438,56",23.922412102,50928
87,1995,"407,037",6.374494942,50568
88,1996,"425,372",6.616353766,50568
89,1997,"458,375",7.145696603,50568
90,1998,"484,044",7.576446281,50568
91,1999,"513,38",8.001433893,50568
92,2000,"524,381",8.018180706,50568
93,2001,"524,381",7.73765678,50568
94,2002,"531,715",7.484094812,50568
95,2003,"535,382",7.159140446,50568
96,2004,"564,718",7.208828523,50568
97,2005,"575,719",7.088127747,50568
98,2006,"546,383",6.553476545,50568
99,2007,"539,049",6.350868305,50568
100,2008,"539,049",6.296124556,50568
101,2009,"517,047",6.049172848,50568
102,2010,"517,047",6.12477049,50568
103,2011,"491,378",5.96868547,50568
104,1960,"414,371",0.046067875,32516
105,1961,"491,378",0.053614943,32516
106,1962,"689,396",0.073781338,32516
107,1963,"707,731",0.074251368,32516
108,1964,"839,743",0.086316543,32516
109,1965,"1.008,43",0.101498607,32516
110,1966,"1.092,77",0.10767397,32516
111,1967,"1.283,45",0.123782381,32516
112,1968,"1.224,78",0.115547383,32516
113,1969,"942,419",0.086862817,32516
114,1970,"1.672,15",0.150358548,32516
115,1971,"1.895,84",0.166114846,32516
116,1972,"1.532,81",0.130820142,32516
117,1973,"1.639,15",0.136339954,32516
118,1974,"1.917,84",0.155725123,32516
119,1975,"2.126,86",0.169027082,32516
120,1976,"1.987,51",0.154895026,32516
121,1977,"2.390,88",0.183118308,32516
122,1978,"2.159,86",0.163346971,32516
123,1979,"2.240,54",0.168673488,32516
124,1980,"1.760,16",0.133230271,32516
125,1981,"1.983,85",0.152639744,32516
126,1982,"2.101,19",0.165879122,32516
127,1983,"2.522,90",0.205462699,32516
128,1984,"2.830,92",0.237642948,32516
129,1985,"3.509,32",0.301734199,32516
130,1986,"3.142,62",0.274729698,32516
131,1987,"3.124,28",0.275560305,32516
132,1988,"2.867,59",0.252079156,32516
133,1989,"2.775,92",0.239131208,32516
134,1990,"2.676,91",0.221826764,32516
135,1991,"2.493,56",0.194971232,32516
136,1992,"1.426,46",0.103775745,32516
137,1993,"1.375,13",0.092761103,32516
138,1994,"1.320,12",0.083183538,32516
139,1995,"1.268,78",0.075646465,32516
140,1996,"1.199,11",0.06859185,32516
141,1997,"1.114,77",0.061814349,32516
142,1998,"1.056,10",0.057050868,32516
143,1999,"832,409",0.043722588,32516
144,2000,"781,071",0.03964437,32516
145,2001,"645,392",0.031434756,32516
146,2002,"894,748",0.041641211,32516
147,2003,"1.037,76",0.046107612,32516
148,2004,"957,087",0.040727366,32516
149,2005,"1.338,46",0.05485483,32516
150,2006,"1.657,48",0.065815968,32516
151,2007,"2.280,87",0.088141054,32516
152,2008,"4.217,05",0.158961558,32516
153,2009,"6.776,62",0.24907353,32516
154,2010,"8.470,77",0.302936388,32516
155,2011,"12.251,45",0.425262105,32516
156,1960,"550,05",0.104357101,45898
157,1961,"454,708",0.084718406,45898
158,1962,"1.180,77",0.216025343,45898
159,1963,"1.151,44",0.206877061,45898
160,1964,"1.224,78",0.216174133,45898
161,1965,"1.188,11",0.206088959,45898
162,1966,"1.554,81",0.265164146,45898
163,1967,"993,757",0.166658589,45898
164,1968,"1.672,15",0.275655471,45898
165,1969,"2.786,92",0.451125604,45898
166,1970,"3.582,66",0.568588577,45898
167,1971,"3.410,31",0.529744961,45898
168,1972,"4.506,74",0.684120294,45898
169,1973,"4.880,78",0.723055043,45898
170,1974,"4.873,44",0.703873436,45898
171,1975,"4.415,07",0.621198891,45898
172,1976,"3.285,63",0.450116912,45898
173,1977,"3.534,99",0.471248794,45898
174,1978,"5.412,49",0.701359921,45898
175,1979,"5.504,17",0.692097154,45898
176,1980,"5.346,49",0.651061684,45898
177,1981,"5.280,48",0.621382804,45898
178,1982,"4.649,76",0.527930763,45898
179,1983,"5.115,47",0.560374447,45898
180,1984,"5.009,12",0.530351031,45898
181,1985,"4.701,09",0.482400531,45898
182,1986,"4.660,76",0.464973712,45898
183,1987,"5.815,86",0.565431153,45898
184,1988,"5.130,13",0.486503528,45898
185,1989,"5.009,12",0.462907837,45898
186,1990,"4.429,74",0.398075822,45898
187,1991,"4.367,40",0.380694834,45898
188,1992,"4.418,74",0.372921412,45898
189,1993,"5.801,19",0.473691138,45898
190,1994,"3.890,69",0.307601078,45898
191,1995,"11.012,00",0.844305988,45898
192,1996,"10.491,29",0.781484777,45898
193,1997,"7.381,67",0.5348313,45898
194,1998,"7.308,33",0.515117027,45898
195,1999,"9.156,50",0.627072296,45898
196,2000,"9.541,53",0.633625299,45898
197,2001,"9.732,22",0.625351712,45898
198,2002,"12.665,82",0.786223278,45898
199,2003,"9.064,82",0.543083667,45898
200,2004,"18.793,38",1.086604897,45898
201,2005,"19.156,41",1.069417185,45898
202,2006,"22.266,02",1.200877147,45898
203,2007,"25.151,95",1.311096483,45898
204,2008,"27.172,47",1.369424769,45898
205,2009,"29.361,67",1.430873373,45898
206,2010,"29.743,04",1.401654169,45898
207,2011,"29.710,03",1.35400753,45898
208,1960,"2.024,18",1.258194928,50290
209,1961,"2.280,87",1.374186047,50290
210,1962,"2.464,22",1.439955964,50290
211,1963,"2.082,86",1.181681144,50290
212,1964,"2.016,85",1.11174196,50290
213,1965,"2.174,53",1.166099043,50290
214,1966,"2.552,23",1.333055465,50290
215,1967,"2.680,58",1.3637463,50290
216,1968,"3.072,95",1.519551277,50290
217,1969,"3.245,30",1.558967572,50290
218,1970,"3.744,01",1.753239905,50290
219,1971,"4.352,73",1.989497923,50290
220,1972,"5.643,51",2.515914398,50290
221,1973,"5.291,48",2.303897417,50290
222,1974,"4.345,40",1.849006691,50290
223,1975,"4.594,75",1.910633637,50290
224,1976,"4.950,45",2.013584562,50290
225,1977,"5.720,52",2.275876391,50290
226,1978,"6.494,26",2.53062504,50290
227,1979,"7.587,02",2.898208518,50290
228,1980,"5.170,47",1.93505831,50290
